Bet,betsite,dates,odds,fighter1,fighter2,class,url
Dong Hyun Kim,5Dimes,1393112349000,-280,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,5Dimes,1393173911000,-390,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,5Dimes,1393268406000,-350,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,5Dimes,1393480384000,-360,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,5Dimes,1393523831000,-370,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,5Dimes,1393603928000,-345,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,5Dimes,1393648210000,-320,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,5Dimes,1393652887000,-290,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,5Dimes,1393682063000,-295,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,5Dimes,1393684222000,-290,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,BetDSI,1393522448000,-350,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,BookMaker,1393522572000,-350,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,SportBet,1393112351000,-268,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,SportBet,1393173913000,-372,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,SportBet,1393268409000,-341,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,SportBet,1393480396000,-351,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,SportBet,1393523833000,-361,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,SportBet,1393603930000,-351,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,SportBet,1393648212000,-326,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,SportBet,1393652889000,-293,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,SportBet,1393682065000,-302,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,SportBet,1393684224000,-293,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
Dong Hyun Kim,Bovada,1393247165000,-365,Dong Hyun Kim,John Hathaway,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-china-finale-778
