Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jon Jones,5Dimes,1256338817000,-185,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1256562013000,-195,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1256989514000,-205,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1257078629000,-215,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1258203644000,-225,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1258304445000,-220,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1258840833000,-230,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1258891213000,-220,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259133315000,-230,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259204418000,-240,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259301629000,-220,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259336730000,-235,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259480715000,-270,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259487914000,-250,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259560820000,-240,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259561715000,-230,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259581512000,-240,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259674215000,-245,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259748022000,-255,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259796628000,-260,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259918118000,-270,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1259954123000,-300,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1260053138000,-320,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1260057622000,-300,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1260063027000,-275,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1260063925000,-265,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1260064825000,-280,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,5Dimes,1260067536000,-265,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,BookMaker,1256504425000,-205,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,BookMaker,1256594418000,-202,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
Jon Jones,BookMaker,1256926540000,-210,Jon Jones,Matt Hamill,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210
