Bet,betsite,dates,odds,fighter1,fighter2,class,url
B.J. Penn,5Dimes,1403298663000,+250,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403535425000,+265,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403928905000,+310,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403932506000,+315,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403962745000,+325,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403963285000,+350,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403963824000,+400,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403964365000,+425,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403964736000,+450,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403966885000,+500,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403967786000,+600,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403972105000,+650,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403974625000,+600,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403974985000,+650,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403975525000,+700,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403983449000,+600,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1403991725000,+550,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
B.J. Penn,5Dimes,1404001625000,+500,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-19-finale-832
