Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jonathan Brookins,5Dimes,1291328738000,-290,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291329646000,-240,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291329963000,-245,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291330726000,-215,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291332945000,-225,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291339870000,-245,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291345559000,-265,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291374324000,-275,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291415424000,-260,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291487724000,-250,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291492524000,-265,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291504224000,-275,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291505724000,-270,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291507228000,-260,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291512024000,-250,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291512624000,-240,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,5Dimes,1291515325000,-230,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291338954000,-240,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291342851000,-245,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291343153000,-252,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291345866000,-275,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291365331000,-280,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291402832000,-277,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291422631000,-275,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291492833000,-280,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291495232000,-285,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291498830000,-283,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291499432000,-280,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291508733000,-278,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291510537000,-271,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291513242000,-268,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291514142000,-260,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291514733000,-258,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291515337000,-240,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,BookMaker,1291524636000,-245,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291329131000,-290,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291329670000,-240,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291330027000,-245,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291330790000,-215,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291332979000,-225,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291339937000,-245,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291345588000,-265,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291374343000,-275,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291415148000,-260,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291487450000,-250,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291492546000,-265,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291504245000,-275,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291505453000,-270,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291507271000,-260,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291512041000,-250,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291512654000,-240,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,SportBet,1291515352000,-230,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,Bovada,1291319432000,-180,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,Bovada,1291320344000,-210,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,Bovada,1291321234000,-215,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,Bovada,1291323331000,-250,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,Bovada,1291471227000,-260,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
Jonathan Brookins,Bovada,1291501230000,-265,Jonathan Brookins,Michael Johnson,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330
