Bet,betsite,dates,odds,fighter1,fighter2,class,url
Scott Jorgensen,5Dimes,1364607304000,+300,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1364673006000,+320,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365279606000,+340,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365599105000,+360,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365779406000,+380,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365779707000,+395,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365850206000,+400,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365867005000,+405,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365868205000,+413,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365879606000,+395,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365882905000,+400,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365884104000,+410,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365891606000,+395,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365893104000,+390,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365893706000,+405,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,5Dimes,1365897606000,+390,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,BetDSI,1365461109000,+335,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,BetDSI,1365807616000,+340,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,BetDSI,1365870011000,+345,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,BetDSI,1365882611000,+350,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,BetDSI,1365891614000,+365,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,BetDSI,1365901812000,+375,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
Scott Jorgensen,BetDSI,1365903012000,+360,Scott Jorgensen,Urijah Faber,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-17-finale-656
