Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anthony Pettis,5Dimes,1306618504000,-160,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306619103000,-170,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306678804000,-160,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306701603000,-155,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306795803000,-165,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306797303000,-155,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306799402000,-150,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306799703000,-145,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306800003000,-140,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306800603000,-145,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306803602000,-140,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306813203000,-145,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306839304000,-150,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1306932604000,-165,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1307004603000,-170,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1307046003000,-175,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1307058603000,-200,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1307127903000,-210,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1307186402000,-220,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1307208305000,-210,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1307232604000,-215,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,5Dimes,1307241604000,-220,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1306604113000,-130,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1306605308000,-140,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1306607708000,-150,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1306608008000,-155,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1306645807000,-160,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1306697105000,-168,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1306796706000,-175,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1306802706000,-170,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1306943407000,-175,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1307052610000,-200,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1307063406000,-210,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1307136309000,-225,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1307153410000,-240,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1307207410000,-225,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,BookMaker,1307243408000,-250,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306618526000,-160,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306618823000,-165,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306619124000,-170,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306678829000,-160,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306701319000,-155,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306795819000,-165,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306797320000,-155,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306799422000,-150,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306799726000,-145,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306800023000,-140,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306800621000,-145,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306803618000,-140,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306813219000,-145,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306839322000,-150,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1306932621000,-165,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1307004622000,-170,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
Anthony Pettis,SportBet,1307028927000,-167,Anthony Pettis,Clay Guida,even,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-13-finale-362
