Bet,betsite,dates,odds,fighter1,fighter2,class,url
Antonio Rodrigo Nogueira,5Dimes,1245342609000,-160,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1245343509000,-140,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1245344409000,-120,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1245349809000,+120,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1245350708000,+160,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1245414608000,+170,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1246282280000,+170,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1246373144000,+165,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1246620628000,+160,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1247224543000,+165,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1247308235000,+160,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1248200558000,+158,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1248272597000,+165,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1248353109000,+160,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1250250310000,+155,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1250607613000,+150,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251031511000,+145,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251309639000,+150,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251376212000,+145,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251410420000,+155,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251418513000,+165,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251492326000,+160,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251499514000,+158,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251561613000,+168,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251567012000,+170,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251579614000,+165,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251582324000,+163,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251583214000,+164,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251584115000,+165,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251592213000,+155,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251593112000,+158,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251597612000,+155,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251602125000,+162,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,5Dimes,1251603014000,+165,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,BookMaker,1245371414000,+165,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,BookMaker,1246652204000,+150,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,BookMaker,1248638581000,+160,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,BookMaker,1249398018000,+150,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,BookMaker,1250217021000,+145,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,BookMaker,1250894739000,+135,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,BookMaker,1251249318000,+140,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,BookMaker,1251414045000,+145,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,BookMaker,1251416722000,+150,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
Antonio Rodrigo Nogueira,BookMaker,1251540919000,+160,Antonio Rodrigo Nogueira,Randy Couture,even,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156
