Bet,betsite,dates,odds,fighter1,fighter2,class,url
B.J. Penn,5Dimes,1265744726000,-750,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,5Dimes,1265805025000,-780,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,5Dimes,1266306322000,-750,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,5Dimes,1267800323000,-800,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,5Dimes,1270137625000,-700,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,5Dimes,1270744218000,-780,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,5Dimes,1270885522000,-800,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,5Dimes,1270888228000,-750,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,5Dimes,1270916131000,-780,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,BookMaker,1266287419000,-700,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,BookMaker,1270602032000,-725,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,BookMaker,1270674936000,-750,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,BookMaker,1270705522000,-775,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,BookMaker,1270874739000,-780,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,BookMaker,1270879240000,-800,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,BookMaker,1270921558000,-850,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,BookMaker,1270922441000,-900,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,BookMaker,1270923352000,-1100,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,SportBet,1266858941000,-750,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,SportBet,1268055978000,-800,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,SportBet,1270242077000,-700,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
B.J. Penn,SportBet,1270745181000,-780,B.J. Penn,Frankie Edgar,even,https://www.bestfightodds.com/search?query=UFC%20112%3A%20Invincible
