Bet,betsite,dates,odds,fighter1,fighter2,class,url
Brock Lesnar,5Dimes,1270062024000,-225,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1270069232000,-210,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1270070119000,-200,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1270102522000,-190,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1270125016000,-200,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1271358927000,-210,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1271583025000,-200,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1273399217000,-190,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1276066830000,-185,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1276619424000,-175,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1276681519000,-170,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1276794020000,-165,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1277265627000,-160,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1277471727000,-150,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1277505931000,-155,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1277526648000,-175,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1277555422000,-155,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1277621143000,-150,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1277755231000,-140,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1277904639000,-135,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1277906436000,-130,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1277950527000,-135,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1278005438000,-130,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1278046842000,-125,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1278072037000,-130,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1278076533000,-125,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1278081934000,-128,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
Brock Lesnar,5Dimes,1278082841000,-130,Brock Lesnar,Shane Carwin,even,https://www.bestfightodds.com/events/ufc-116-lesnar-vs-carwin-265
