Bet,betsite,dates,odds,fighter1,fighter2,class,url
Brock Lesnar,5Dimes,1278795631000,-190,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1278798330000,-170,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1278809119000,-155,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1278862247000,-170,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1278879338000,-160,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279005322000,-180,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279044026000,-160,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279057520000,-180,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279085479000,-170,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279131321000,-155,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279166433000,-180,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279361721000,-175,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279372521000,-170,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279449029000,-165,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279536331000,-160,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279707331000,-165,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279879241000,-160,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1279998938000,-155,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1280453443000,-170,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1280572233000,-165,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1280815229000,-170,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1281093322000,-165,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1281430829000,-170,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1281562280000,-165,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1282036524000,-160,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1282122038000,-165,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1282337159000,-160,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1285983925000,-155,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1285997445000,-165,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1286324125000,-160,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1286386224000,-155,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1286811024000,-160,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1287131426000,-150,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1287179124000,-135,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1287401427000,-140,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1287661526000,-135,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1287699327000,-140,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1287731726000,-145,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1287762327000,-140,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1287816328000,-147,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
Brock Lesnar,5Dimes,1287848128000,-150,Brock Lesnar,Cain Velasquez,even,https://www.bestfightodds.com/events/ufc-121-lesnar-vs-velasquez-308
