Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jon Jones,5Dimes,1307742603000,-340,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1307919903000,-370,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1308040503000,-360,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1308132003000,-350,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1308188102000,-365,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1308219303000,-360,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1308391503000,-350,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1308426603000,-360,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1310176203000,-380,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1310629805000,-390,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1310806803000,-420,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1311110403000,-450,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1311242703000,-430,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1311281702000,-450,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1313836203000,-460,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1314455105000,-470,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1314736802000,-500,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1314935704000,-550,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1315081805000,-560,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1315479903000,-525,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1315968903000,-550,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1316033704000,-500,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1316139002000,-515,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1316315104000,-550,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1316405703000,-500,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1316460303000,-550,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1316807103000,-600,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1316807404000,-560,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1316886004000,-555,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1316918702000,-540,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,5Dimes,1316919303000,-500,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1306663030000,-305,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1306696807000,-315,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1307121314000,-320,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1308004812000,-345,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1310188511000,-400,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1310407206000,-405,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1310840708000,-410,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1311135310000,-435,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1314990009000,-450,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1316116811000,-475,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1316451008000,-480,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1316460608000,-485,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1316564708000,-550,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1316909110000,-540,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1316917811000,-535,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1316919029000,-525,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1316919911000,-500,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,BookMaker,1316920507000,-515,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,SportBet,1307742626000,-340,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,SportBet,1307919919000,-370,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,SportBet,1308040519000,-360,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,SportBet,1308132020000,-350,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,SportBet,1308188119000,-365,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,SportBet,1308219325000,-360,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,SportBet,1308391531000,-350,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,SportBet,1308426631000,-360,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,SportBet,1310176224000,-380,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,SportBet,1310629826000,-390,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,SportBet,1310806825000,-420,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
Jon Jones,SportBet,1310822747000,-407,Jon Jones,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417
