Bet,betsite,dates,odds,fighter1,fighter2,class,url
Chad Mendes,5Dimes,1323744303000,+240,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1323744903000,+175,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1323749703000,+200,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1323755402000,+175,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1324159504000,+180,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1324419304000,+200,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1324573203000,+210,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1324585203000,+180,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1324830004000,+175,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1324905004000,+185,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1325276704000,+200,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1325873151000,+205,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1326016810000,+200,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1326144604000,+195,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1326185102000,+200,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1326277802000,+205,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1326292203000,+200,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
Chad Mendes,5Dimes,1326405907000,+215,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-142-aldo-vs-mendes-474
