Bet,betsite,dates,odds,fighter1,fighter2,class,url
Frank Mir,5Dimes,1335033605000,+380,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1335195303000,+400,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1335891954000,+425,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1335933903000,+410,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1336506002000,+415,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1337202003000,+400,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1337262003000,+415,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1337606403000,+425,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1337977803000,+435,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1338055804000,+450,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1338084914000,+435,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1338087620000,+420,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1338088804000,+435,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,5Dimes,1338089126000,+420,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,BookMaker,1335029109000,+365,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,BookMaker,1335111310000,+385,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,BookMaker,1337989809000,+400,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,BookMaker,1338066309000,+425,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,BookMaker,1338080154000,+405,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,BookMaker,1338089134000,+410,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,BookMaker,1338090936000,+405,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1335033348000,+401,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1335195330000,+422,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1335892044000,+453,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1335933932000,+433,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1336505725000,+431,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1337202030000,+415,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1337262030000,+431,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1337606424000,+444,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1337977831000,+431,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1338055836000,+444,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1338084627000,+431,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1338087665000,+415,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1338088826000,+431,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,SportBet,1338089179000,+415,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Bovada,1335193505000,+375,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Bovada,1337377806000,+350,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Bovada,1338087627000,+335,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Sportsbook,1335013220000,+300,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Sportsbook,1335495620000,+350,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Sportsbook,1337299818000,+300,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Sportsbook,1337792719000,+300,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Sportsbook,1338060315000,+350,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1335573925000,+423,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1335592225000,+477,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1335632426000,+450,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1336472119000,+417,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1336505720000,+425,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1336840822000,+415,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1336841122000,+400,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1336854324000,+405,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1336854622000,+410,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1337397320000,+420,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1337400319000,+415,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1337647223000,+420,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1337651120000,+415,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1337915427000,+420,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1338047760000,+421,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1338050723000,+428,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1338051022000,+421,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1338056124000,+426,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
Frank Mir,Pinnacle,1338075657000,+421,Frank Mir,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-146-dos-santos-vs-mir-502
