Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anderson Silva,5Dimes,1347557405000,-1300,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,5Dimes,1347567305000,-1050,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,5Dimes,1347879903000,-1300,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,5Dimes,1349122505000,-1200,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,5Dimes,1349727005000,-1250,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,5Dimes,1349897103000,-1100,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,5Dimes,1349998505000,-1200,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,5Dimes,1350044404000,-1100,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,5Dimes,1350137707000,-1000,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BetDSI,1347556812000,-1350,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BetDSI,1347568811000,-1200,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BetDSI,1349154608000,-1250,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BetDSI,1349895615000,-1200,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BetDSI,1350071110000,-1050,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BetDSI,1350156328000,-1000,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BetDSI,1350162314000,-950,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BetDSI,1350180911000,-945,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BookMaker,1347556817000,-1350,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BookMaker,1349395220000,-1350,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BookMaker,1349895620000,-1250,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BookMaker,1350071115000,-1100,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
Anderson Silva,BookMaker,1350156623000,-1050,Anderson Silva,Stephan Bonnar,even,https://www.bestfightodds.com/events/ufc-153-silva-vs-bonnar-571
