Bet,betsite,dates,odds,fighter1,fighter2,class,url
Cain Velasquez,5Dimes,1346105103000,+110,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1346752504000,+115,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1349873404000,+120,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1349969705000,+120,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1350656706000,+125,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1351128304000,+130,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1352242208000,+120,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1353126303000,+115,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1353174908000,+120,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1353309903000,+130,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1353367804000,+135,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1354838404000,+140,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1355721002000,+145,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1355742303000,+150,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1355744103000,+155,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
Cain Velasquez,5Dimes,1355958304000,+158,Cain Velasquez,Junior Dos Santos,even,https://www.bestfightodds.com/events/ufc-155-dos-santos-vs-velasquez-ii-585
