Bet,betsite,dates,odds,fighter1,fighter2,class,url
Frankie Edgar,5Dimes,1352229312000,+155,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1352237103000,+190,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1352242804000,+160,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1352318704000,+195,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1352322904000,+170,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1352324405000,+160,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1352327105000,+175,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1352916904000,+185,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1353058204000,+190,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1353368704000,+200,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1354962904000,+190,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1355744703000,+200,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1355756703000,+200,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1356655205000,+210,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1357427110000,+220,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1358169603000,+210,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1358805006000,+200,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359051304000,+195,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359066904000,+205,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359369003000,+200,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359412205000,+180,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359695106000,+190,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359706213000,+180,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359729305000,+190,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359748503000,+175,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359748804000,+185,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359813007000,+175,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359821706000,+170,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359840906000,+165,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359841504000,+160,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359842405000,+155,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359843603000,+160,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359843903000,+155,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359852903000,+160,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359854405000,+155,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359854704000,+160,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
Frankie Edgar,5Dimes,1359857104000,+155,Frankie Edgar,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-156-aldo-vs-edgar-611
