Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anderson Silva,5Dimes,1373396948000,-140,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1373461569000,-160,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1373564529000,-125,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1373581087000,-135,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1373596568000,-150,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1373802128000,-170,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1373813645000,-190,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1373824626000,-160,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1373902929000,-160,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1374296103000,-145,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1374816967000,-130,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1375499348000,-120,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1375673407000,+100,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1375673585000,-110,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1375707970000,-130,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1375743968000,-140,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1375819390000,-140,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1375846032000,-135,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1376268666000,-140,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1376400611000,-125,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1377408249000,-115,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1379860211000,-110,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1382212628000,-120,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1382459769000,-110,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1382460308000,-105,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1383598267000,-120,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1383940630000,-125,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1384477083000,-135,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
Anderson Silva,5Dimes,1384578549000,-130,Anderson Silva,Chris Weidman,even,https://www.bestfightodds.com/events/ufc-168-weidman-vs-silva-ii-706
