Bet,betsite,dates,odds,fighter1,fighter2,class,url
Glover Teixeira,5Dimes,1380312373000,+475,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1380319402000,+425,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1380320123000,+455,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1380323002000,+500,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1380586866000,+450,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1391700788000,+475,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1394988486000,+450,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1397171711000,+440,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1398009441000,+425,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1398011045000,+400,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1398282316000,+415,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1398434414000,+400,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1398441807000,+420,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1398454579000,+435,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
Glover Teixeira,5Dimes,1398530024000,+423,Glover Teixeira,Jon Jones,even,https://www.bestfightodds.com/events/ufc-172-jones-vs-teixeira-772
