Bet,betsite,dates,odds,fighter1,fighter2,class,url
Chris Weidman,5Dimes,1393607526000,-150,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393608616000,-160,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393613835000,-180,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393614371000,-195,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393623190000,-260,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393623370000,-210,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393623546000,-215,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393627155000,-210,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393633807000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393633987000,-195,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393653616000,-210,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393657061000,-195,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393738025000,-175,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1393768100000,-180,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1394408705000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1394424006000,-175,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1394922970000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1394923707000,-200,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1394924051000,-225,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1394924951000,-200,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1394925666000,-220,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1394926569000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1394927476000,-220,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1394928365000,-230,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1394993527000,-240,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1394994245000,-250,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395025205000,-255,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395030615000,-240,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395184685000,-250,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395185946000,-260,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395362346000,-245,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395539302000,-255,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395539470000,-260,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395554407000,-270,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395612908000,-275,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395613090000,-280,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395613450000,-290,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395614353000,-300,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395614884000,-310,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395615969000,-320,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395628205000,-280,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395679875000,-260,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395786967000,-215,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395787146000,-195,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395787509000,-170,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395803168000,-195,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1395891545000,-225,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1397341626000,-240,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1399228752000,-240,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1400631665000,-220,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1402267145000,-200,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1402292885000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1402897145000,-200,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404330846000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404339305000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404393847000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404427686000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404429306000,-175,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404447485000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404480610000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404493026000,-178,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404579607000,-175,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404585185000,-180,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404585366000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404599945000,-210,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404601026000,-205,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404603185000,-210,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404603725000,-215,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404607685000,-210,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404611827000,-215,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404613806000,-200,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404613986000,-192,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404614345000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404618305000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404618484000,-180,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404618665000,-171,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,5Dimes,1404619026000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1402329785000,-205,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1402332486000,-200,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1402340408000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1402343647000,-180,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1403659446000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1403899386000,+161,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1403899746000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404340207000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404415269000,-183,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404422646000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404427327000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404434886000,-195,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404464766000,-200,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404489966000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404513727000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404595986000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404597066000,-180,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404597426000,-177,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404600667000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404602826000,-195,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404606070000,-200,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404608225000,-210,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404609305000,-200,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404612906000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404613276000,-210,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BetDSI,1404615428000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BookMaker,1402329425000,-205,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BookMaker,1402340408000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BookMaker,1402376703000,-188,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BookMaker,1403659625000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BookMaker,1403899566000,+161,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BookMaker,1403899927000,-190,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BookMaker,1404283865000,-194,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BookMaker,1404340207000,-185,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BookMaker,1404379985000,-186,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
Chris Weidman,BookMaker,1404415269000,-183,Chris Weidman,Lyoto Machida,even,https://www.bestfightodds.com/events/ufc-175-weidman-vs-machida-805
