Bet,betsite,dates,odds,fighter1,fighter2,class,url
Chad Mendes,5Dimes,1412795888000,+150,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412796427000,+170,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412796611000,+185,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412797146000,+180,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412799309000,+250,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412800209000,+200,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412803086000,+240,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412803446000,+235,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412803628000,+220,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412803987000,+235,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412804706000,+260,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412805071000,+240,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412805247000,+265,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412805427000,+325,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412805608000,+270,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412806872000,+240,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412814786000,+280,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412822349000,+250,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412822527000,+240,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412862666000,+220,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412867536000,+250,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412886427000,+235,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1412962206000,+220,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
Chad Mendes,5Dimes,1413130325000,+200,Chad Mendes,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-179-aldo-vs-mendes-ii-855
