Bet,betsite,dates,odds,fighter1,fighter2,class,url
Daniel Cormier,5Dimes,1406242091000,+165,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406242451000,+135,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406242631000,+160,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406242813000,+165,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406250908000,+160,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406251992000,+135,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406252173000,+130,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406280065000,+155,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406304189000,+170,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406425510000,+150,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406440088000,+130,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406441526000,+140,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406451965000,+150,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406483651000,+160,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406577968000,+140,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406666911000,+120,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406670026000,+145,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406670492000,+150,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406681292000,+155,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406733852000,+160,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1406835738000,+155,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1407267554000,+145,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1407816547000,+150,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1408574887000,+160,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1408668306000,+150,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1418069706000,+140,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1419005346000,+150,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1419290289000,+160,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1419456965000,+155,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1419787816000,+150,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1419876186000,+145,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1419984905000,+135,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420063924000,+140,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420129990000,+150,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420161846000,+145,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420216387000,+150,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420236186000,+145,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420236545000,+150,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420258149000,+155,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420259405000,+160,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420297755000,+165,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420299728000,+160,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420309085000,+165,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420310716000,+168,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420314677000,+170,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420319886000,+175,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420320248000,+180,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420320607000,+177,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420320798000,+175,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420328525000,+185,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420332127000,+188,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420336995000,+190,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420341124000,+185,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420342927000,+170,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420344017000,+165,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420344365000,+170,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420348332000,+175,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420348531000,+190,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420348695000,+188,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,5Dimes,1420348885000,+177,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1407459795000,+140,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1407464477000,+136,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1407465021000,+135,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1407729970000,+140,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1407799812000,+145,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1419295686000,+149,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1419298566000,+150,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1419398104000,+160,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1419800052000,+151,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1419800227000,+145,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1419876186000,+143,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1419900125000,+141,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1419967985000,+135,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1419977896000,+137,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1419983466000,+135,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1419986705000,+137,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1420063565000,+128,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1420063746000,+133,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1420130166000,+155,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1420148887000,+150,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1420149607000,+145,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1420158070000,+140,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1420158606000,+142,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1420178764000,+140,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1420180926000,+145,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1420183269000,+136,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1420183634000,+140,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
Daniel Cormier,BetDSI,1420218371000,+141,Daniel Cormier,Jon Jones,even,https://www.bestfightodds.com/events/ufc-182-jones-vs-cormier-864
