Bet,betsite,dates,odds,fighter1,fighter2,class,url
Cain Velasquez,5Dimes,1421702466000,-475,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1421887866000,-515,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1422371361000,-500,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1432660892000,-450,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1433795050000,-485,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1433948956000,-500,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1434048486000,-525,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1434121938000,-500,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1434138846000,-480,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1434224166000,-455,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1434225966000,-420,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1434229927000,-400,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1434237487000,-410,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1434240185000,-420,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1434241084000,-430,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1434255485000,-440,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,5Dimes,1434256385000,-460,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1426019047000,-475,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1429076706000,-470,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1429804627000,-500,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1433578543000,-550,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1433596599000,-500,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1433698662000,-465,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1433726897000,-474,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1433727434000,-465,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1433735726000,-475,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1433736433000,-545,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1433736618000,-524,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1433736791000,-545,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1434026224000,-500,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1434173227000,-471,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1434173408000,-475,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1434198068000,-570,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1434221468000,-600,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1434230108000,-575,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1434241086000,-590,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BetDSI,1434241633000,-700,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1426020308000,-475,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1429804808000,-500,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1433698513000,-475,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1433698729000,-465,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1433726606000,-467,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1433726946000,-465,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1433727131000,-467,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1433727645000,-465,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1433735771000,-475,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1433735933000,-480,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1433889013000,-500,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1433889191000,-480,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1433889551000,-500,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1434173050000,-471,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1434173229000,-500,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1434173590000,-475,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1434173770000,-471,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1434173954000,-475,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1434229571000,-465,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1434240910000,-485,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1434247570000,-480,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1434247755000,-485,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1434248289000,-480,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
Cain Velasquez,BookMaker,1434252429000,-500,Cain Velasquez,Fabricio Werdum,even,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
