Bet,betsite,dates,odds,fighter1,fighter2,class,url
Chad Mendes,5Dimes,1435546266000,-130,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435585145000,-150,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435586406000,-135,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435622765000,-115,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435710246000,+100,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435710785000,-130,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435711146000,-160,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435711864000,-150,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435712224000,-130,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435712405000,-115,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435713844000,-125,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435714025000,-120,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435714564000,-115,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435714745000,-110,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435716545000,+100,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435717655000,+105,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435726446000,+110,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435738503000,+120,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435774686000,+115,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435779906000,+120,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435800425000,+125,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435854065000,+120,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435886645000,+125,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1435899425000,+130,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436044685000,+125,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436069705000,+130,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436069885000,+135,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436162403000,+140,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436189766000,+145,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436253125000,+140,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436311625000,+145,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436327824000,+150,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436369406000,+158,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436386146000,+165,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436391006000,+160,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436490364000,+158,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436562906000,+165,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436565066000,+170,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436595485000,+168,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436626087000,+165,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436632026000,+170,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436637787000,+160,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
Chad Mendes,5Dimes,1436638327000,+155,Chad Mendes,Conor McGregor,even,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
