Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alexander Gustafsson,5Dimes,1433452712000,+220,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1433735492000,+200,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1434581289000,+215,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1435171146000,+230,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1435870446000,+243,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1437341406000,+250,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1438783386000,+265,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1438787887000,+290,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1438794907000,+300,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1438830006000,+290,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1439309888000,+300,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1439791563000,+315,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1439824147000,+300,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1441827731000,+305,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1443368886000,+290,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1443448445000,+280,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1443493266000,+270,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1443493626000,+280,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1443640329000,+265,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1443720979000,+250,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
Alexander Gustafsson,5Dimes,1443758954000,+245,Alexander Gustafsson,Daniel Cormier,even,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
