Bet,betsite,dates,odds,fighter1,fighter2,class,url
Holly Holm,5Dimes,1440178209000,+950,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1441069026000,+925,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1441212307000,+950,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1441829709000,+1000,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1445709788000,+1100,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1446174547000,+1125,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1446174726000,+1100,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1446656774000,+1150,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1447023610000,+1200,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1447266246000,+1250,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1447425726000,+1200,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1447509428000,+1150,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1447509608000,+1135,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1447535166000,+800,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1447536606000,+725,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
Holly Holm,5Dimes,1447542726000,+700,Holly Holm,Ronda Rousey,even,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
