Bet,betsite,dates,odds,fighter1,fighter2,class,url
Conor McGregor,5Dimes,1436808606000,-180,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1436810407000,-160,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1436816345000,-150,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1436822105000,-155,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1436915167000,-160,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1436932084000,-175,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1437240607000,-165,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1437335825000,-170,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1437336005000,-175,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1441833129000,-165,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1442170627000,-170,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1442526847000,-175,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1442527573000,-185,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1443074405000,-175,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1443929585000,-185,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1445529788000,-170,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1445540118000,-175,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1445540821000,-185,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1447631465000,-175,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1447784466000,-170,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1447784826000,-165,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1447871947000,-160,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1448854385000,-155,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1449010267000,-150,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1449010807000,-145,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1449157147000,-140,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1449263891000,-130,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1449514093000,-125,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1449554227000,-120,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1449686167000,-115,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1449686531000,-120,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1449692826000,-115,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1449776347000,-110,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
Conor McGregor,5Dimes,1449865266000,-105,Conor McGregor,Jose Aldo,even,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
