Bet,betsite,dates,odds,fighter1,fighter2,class,url
Carlos Condit,5Dimes,1441471509000,+125,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1450062544000,+120,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1450476008000,+115,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1450640885000,+105,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1450677065000,+110,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1450731426000,+100,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1451170267000,-105,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1451240825000,-110,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1451497594000,-105,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1451510466000,-110,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1451597415000,-115,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1451696046000,-120,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1451696947000,-115,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1451709366000,-110,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1451768781000,-105,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1451782996000,-110,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,5Dimes,1451796677000,-105,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1441022973000,+110,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1446143767000,+115,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1450619286000,+105,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1450641786000,+100,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1450783987000,-102,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1450800726000,+100,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1451151366000,-105,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1451151549000,+100,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1451151725000,-105,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1451238847000,-110,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1451508486000,-105,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1451511366000,-110,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
Carlos Condit,BetDSI,1451766966000,-108,Carlos Condit,Robbie Lawler,even,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
