Bet,betsite,dates,odds,fighter1,fighter2,class,url
Stephen Thompson,5Dimes,1484159768000,-135,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1484159949000,-105,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1484160488000,-110,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1484162108000,-130,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1484229247000,-125,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1484577549000,-130,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1484578984000,-125,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1484861948000,-120,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1486266124000,-130,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1487313923000,-125,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1487400846000,-120,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1487485814000,-115,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1487519825000,-130,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1487520014000,-125,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1487559434000,-130,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1487945527000,-135,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
Stephen Thompson,5Dimes,1488085214000,-145,Stephen Thompson,Tyron Woodley,even,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
