Bet,betsite,dates,odds,fighter1,fighter2,class,url
Junior Dos Santos,5Dimes,1486588872000,+175,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1486589765000,+145,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1486598406000,+175,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1486632791000,+165,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1487358005000,+175,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1487703966000,+170,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1488126248000,+160,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1488785764000,+155,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1492462624000,+145,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1492995784000,+130,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1492995966000,+120,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1492996144000,+100,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1493005324000,-105,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1493088124000,+100,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1493140505000,-105,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1493140865000,+100,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1493153648000,+105,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1493172908000,+100,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1493211072000,-105,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1493223308000,+105,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1493223488000,+100,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1493272628000,-105,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1493285048000,+100,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
Junior Dos Santos,5Dimes,1493510232000,+105,Junior Dos Santos,Stipe Miocic,even,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
