Bet,betsite,dates,odds,fighter1,fighter2,class,url
Cody Garbrandt,5Dimes,1522973011000,-105,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1522973552000,+120,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1523008111000,-105,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1523146532000,+115,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1523281532000,+120,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1523350292000,+115,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1523361272000,+105,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1523835033000,+115,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1524176648000,+110,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1524864790000,+105,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1526223606000,+100,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1528867805000,+105,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1528872126000,+110,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1528873926000,+115,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1530788225000,+120,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1531055705000,+110,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1531674367000,+105,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1531972086000,+100,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1532802425000,-105,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1532929157000,-110,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
Cody Garbrandt,5Dimes,1532955066000,-105,Cody Garbrandt,T.J. Dillashaw,even,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
