Bet,betsite,dates,odds,fighter1,fighter2,class,url
Frankie Edgar,5Dimes,1558394645000,+250,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1558396266000,+260,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1558397525000,+310,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1558398793000,+350,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1558405806000,+325,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1558471330000,+345,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1558493829000,+320,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1559201946000,+300,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1559453227000,+275,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1559751126000,+300,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1559751668000,+275,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1559871008000,+285,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1560125346000,+275,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1560274926000,+300,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1561102565000,+320,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1561786386000,+310,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1562400369000,+320,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1562437268000,+325,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1562853610000,+330,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1562900588000,+335,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1563110287000,+340,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1563161585000,+330,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1563658748000,+340,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1563801309000,+335,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1563809049000,+325,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1563902827000,+320,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1563914527000,+325,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1564004710000,+310,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1564079792000,+300,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1564087687000,+290,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1564158967000,+305,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1564179307000,+290,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1564245008000,+280,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1564258687000,+275,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1564258868000,+305,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1564281367000,+310,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1564286417000,+290,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,5Dimes,1564288391000,+275,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1563073389000,+313,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1563392887000,+333,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1563731287000,+336,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1563742985000,+329,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1563979688000,+318,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564005792000,+305,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564011191000,+318,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564066991000,+307,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564077791000,+286,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564082287000,+295,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564157890000,+299,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564164191000,+286,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564167787000,+294,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564168688000,+299,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564170491000,+295,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564180401000,+289,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564200191000,+273,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564235291000,+278,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564237991000,+294,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564241591000,+280,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564256891000,+275,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564264091000,+266,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564268613000,+275,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564281195000,+255,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564284791000,+275,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564286589000,+275,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BetDSI,1564287487000,+271,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1559774350000,+277,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1561588386000,+280,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564075091000,+265,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564237991000,+292,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564241951000,+277,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564245552000,+265,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564255629000,+240,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564255809000,+265,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564256168000,+240,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564275250000,+243,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564275616000,+254,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564276893000,+256,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564277051000,+254,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564277228000,+256,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564287488000,+260,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564287848000,+270,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564288029000,+260,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564288211000,+258,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,BookMaker,1564288392000,+270,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1558394646000,+265,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1558396267000,+278,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1558397526000,+328,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1558398805000,+377,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1558405807000,+347,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1558471332000,+364,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1558493830000,+336,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1559201948000,+313,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1559453228000,+288,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1559751127000,+309,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1559751670000,+288,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1559871010000,+298,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1560125347000,+284,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1560274927000,+309,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
Frankie Edgar,SportBet,1561102567000,+330,Frankie Edgar,Max Holloway,even,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
