Bet,betsite,dates,odds,fighter1,fighter2,class,url
Conor McGregor,5Dimes,1574974443000,-190,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1574977330000,-265,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1574978228000,-260,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1574982909000,-215,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1574983089000,-245,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1574984348000,-265,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1575040509000,-260,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1575052929000,-240,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1575062116000,-255,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1575222132000,-245,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1575256144000,-240,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1575256505000,-230,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1576377370000,-220,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1576430836000,-210,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1576711992000,-235,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1577035994000,-230,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1577054708000,-225,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1577125474000,-220,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1577291409000,-240,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1577291770000,-245,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1577313367000,-255,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1577381413000,-265,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1577431085000,-280,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1577542335000,-290,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1577681466000,-300,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1577733848000,-320,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1577982254000,-300,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1578001149000,-280,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1578203288000,-290,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1578232990000,-300,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1578408672000,-310,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1578508053000,-320,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1578520807000,-300,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1578669675000,-320,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1578689115000,-300,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1578889989000,-310,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1578920763000,-300,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1578983769000,-310,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1579014192000,-325,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1579015813000,-330,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1579063324000,-335,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1579110852000,-340,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1579184298000,-350,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
Conor McGregor,5Dimes,1579218488000,-340,Conor McGregor,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
