Bet,betsite,dates,odds,fighter1,fighter2,class,url
Israel Adesanya,5Dimes,1579281135000,-185,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1579281498000,-245,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1579538529000,-230,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1579818068000,-235,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1579895312000,-240,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1579904116000,-225,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1580135968000,-245,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1580169430000,-225,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1580571018000,-220,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1580663012000,-225,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1580679370000,-220,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1580834531000,-210,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1580862253000,-220,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1581103282000,-225,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1581273730000,-230,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1581538155000,-225,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1581629053000,-220,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1581880870000,-235,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1581889885000,-240,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1582053485000,-245,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1582086065000,-255,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1582215136000,-250,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1582478834000,-255,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1582480455000,-260,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1582846928000,-265,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1582938557000,-275,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583089393000,-265,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583100189000,-275,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583160127000,-290,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583175967000,-280,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583214667000,-275,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583327885000,-280,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583435167000,-270,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583451006000,-280,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583501587000,-265,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583524807000,-260,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583537947000,-265,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583539928000,-255,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583542085000,-250,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583552703000,-245,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583556663000,-240,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583568546000,-245,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583589968000,-240,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583616066000,-245,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583620387000,-240,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583626687000,-230,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583632306000,-240,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583642705000,-250,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583643424000,-255,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583646123000,-260,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583646305000,-265,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583646844000,-280,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,5Dimes,1583647384000,-290,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1582435098000,-256,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1582436893000,-263,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1582437795000,-256,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1582449494000,-250,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1582485496000,-270,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1582488195000,-256,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1582616013000,-244,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1582660989000,-250,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1582714990000,-256,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1582777110000,-256,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583044390000,-263,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583097491000,-263,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583101090000,-270,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583102890000,-263,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583154188000,-278,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583156890000,-270,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583181195000,-270,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583182988000,-278,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583206388000,-270,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583253192000,-270,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583282884000,-270,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583394489000,-294,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583401685000,-278,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583405290000,-286,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583431390000,-278,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583473685000,-278,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583531288000,-270,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583536685000,-278,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583542086000,-270,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583543886000,-250,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583547486000,-244,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583549288000,-238,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583556488000,-233,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583605088000,-244,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583609594000,-238,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583614086000,-244,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583616787000,-244,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583617688000,-238,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583619486000,-238,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583620390000,-244,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583627600000,-238,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583628513000,-233,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583629389000,-233,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583638389000,-238,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583640189000,-244,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583641086000,-238,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583641989000,-244,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583643789000,-244,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583644689000,-250,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583646487000,-238,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583647387000,-250,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583648286000,-120,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BetDSI,1583649189000,-400,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
Israel Adesanya,BookMaker,1581860010000,-225,Israel Adesanya,Yoel Romero,even,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
