Bet,betsite,dates,odds,fighter1,fighter2,class,url
Rich Franklin,BookMaker,1181509210000,-160,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,BookMaker,1181521810000,-170,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,BookMaker,1181673010000,-185,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,BookMaker,1181682015000,-180,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,BookMaker,1181901614000,-185,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,BookMaker,1181957411000,-200,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,BookMaker,1182027610000,-215,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,BookMaker,1182036611000,-220,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,SportBet,1181169012000,-210,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,Bovada,1181260805000,-200,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,Bovada,1181673004000,-210,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,Bovada,1181737803000,-220,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,Bovada,1181874605000,-200,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,Bovada,1181907005000,-205,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,Bovada,1182038403000,-220,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,Bovada,1182043803000,-215,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,Bovada,1182049203000,-220,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,Bovada,1182051003000,-215,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,meanodds,1181169012000,-210,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,meanodds,1181260805000,-205,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,meanodds,1181509210000,-187,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,meanodds,1181521810000,-192,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,meanodds,1181673004000,-195,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,meanodds,1181673010000,-201,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,meanodds,1181682015000,-199,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,meanodds,1181737803000,-202,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
Rich Franklin,meanodds,1181874605000,-196,Rich Franklin,Yushin Okami,even,https://www.bestfightodds.com/events/ufc-72-victory-2
