Bet,betsite,dates,odds,fighter1,fighter2,class,url
Antonio Rodrigo Nogueira,5Dimes,1197414014000,-225,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1197428415000,-240,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1197463225000,-260,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1197483617000,-240,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1197488478000,-225,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1198153215000,-215,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1198773605000,-210,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1198816806000,-195,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1198920005000,-180,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1198927205000,-170,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1199002804000,-180,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1199361604000,-195,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1199737204000,-185,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1199880004000,-195,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1200741605000,-190,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1201093205000,-200,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1201111206000,-190,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1201178405000,-210,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1201508404000,-190,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1201537205000,-185,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1201708807000,-175,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1201783206000,-180,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1201902007000,-185,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1201946407000,-170,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1201956006000,-175,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,5Dimes,1202007611000,-185,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,BookMaker,1197344657000,-300,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,BookMaker,1197391208000,-285,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
Antonio Rodrigo Nogueira,BookMaker,1197398414000,-265,Antonio Rodrigo Nogueira,Tim Sylvia,even,https://www.bestfightodds.com/events/ufc-81-breaking-point-28
