Bet,betsite,dates,odds,fighter1,fighter2,class,url
Diego Sanchez,5Dimes,1233159619000,-260,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1233472815000,-280,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1233576006000,-260,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1233698413000,-300,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1233715506000,-300,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1233749709000,-260,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1234200607000,-280,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1234204207000,-290,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1234206907000,-285,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1234272607000,-300,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1234371612000,-335,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1234372517000,-325,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1234465211000,-320,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,5Dimes,1235218513000,-340,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,BookMaker,1233096000000,-260,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,BookMaker,1233097322000,-255,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,BookMaker,1233099961000,-275,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,BookMaker,1234078222000,-285,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,BookMaker,1234575036000,-315,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,BookMaker,1235174426000,-345,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,SportBet,1233681321000,-260,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,SportBet,1234165514000,-290,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,SportBet,1234187111000,-260,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,SportBet,1234482327000,-320,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,SportBet,1235229364000,-340,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,Bovada,1233094877000,-200,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,Bovada,1233096081000,-210,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,Bovada,1233097290000,-250,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,Bovada,1234070118000,-260,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,Bovada,1234190707000,-275,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,Bovada,1234294214000,-295,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,Bovada,1235052014000,-325,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,Bovada,1235232917000,-360,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,Bovada,1235244615000,-350,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,Sportsbook,1233093993000,-180,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
Diego Sanchez,Sportsbook,1233097356000,-210,Diego Sanchez,Joe Stevenson,even,https://www.bestfightodds.com/events/ufc-95-sanchez-vs-stevenson-121
