Bet,betsite,dates,odds,fighter1,fighter2,class,url
Keith Jardine,5Dimes,1233160872000,+210,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,5Dimes,1233700215000,+230,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,5Dimes,1233749710000,+210,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,5Dimes,1233834308000,+230,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,5Dimes,1233902707000,+210,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,5Dimes,1234178106000,+240,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,5Dimes,1234921514000,+250,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,5Dimes,1235842208000,+255,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,5Dimes,1236138310000,+260,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,5Dimes,1236258910000,+255,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,5Dimes,1236349807000,+260,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,5Dimes,1236453314000,+270,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,5Dimes,1236487509000,+280,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,BookMaker,1233096002000,+205,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,BookMaker,1233096376000,+220,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,BookMaker,1233099965000,+215,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,BookMaker,1233174457000,+225,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,BookMaker,1234575036000,+240,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,BookMaker,1235501127000,+260,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,BookMaker,1236366912000,+280,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,BookMaker,1236448819000,+320,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,BookMaker,1236450615000,+310,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
Keith Jardine,BookMaker,1236466821000,+280,Keith Jardine,Quinton Jackson,even,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125
