Bet,betsite,dates,odds,fighter1,fighter2,class,url
Lyoto Machida,5Dimes,1237167006000,-200,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1237281307000,-205,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1237330821000,-170,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1237353314000,-180,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1237354214000,-195,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1237547708000,-215,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1237662008000,-185,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1237894206000,-195,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1238022014000,-245,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1238061608000,-215,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1238148908000,-205,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1238673608000,-195,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1238727613000,-210,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1238758211000,-195,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1239558307000,-190,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1241523907000,-200,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1241637311000,-220,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1242192610000,-200,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
Lyoto Machida,5Dimes,1242339308000,-210,Lyoto Machida,Rashad Evans,even,https://www.bestfightodds.com/events/ufc-98-evans-vs-machida-132
