Bet,betsite,dates,odds,fighter1,fighter2,class,url
Cody Garbrandt,5Dimes,1459649888000,+180,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1459654026000,+150,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1459667167000,+130,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1459974788000,+125,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1459978209000,+140,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1460475186000,+140,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1460475366000,+135,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1462807084000,+140,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1463295245000,+145,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1463321167000,+140,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1463594765000,+130,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1464127926000,+135,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1464187325000,+145,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1464487231000,+160,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1464547689000,+165,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1464549152000,+160,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1464568142000,+170,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1464576692000,+175,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
Cody Garbrandt,5Dimes,1464581642000,+170,Cody Garbrandt,Thomas Almeida,even,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
