Bet,betsite,dates,odds,fighter1,fighter2,class,url
Corey Anderson,5Dimes,1577128153000,-145,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1577542517000,-165,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1577619188000,-175,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1577619728000,-195,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1577629455000,-225,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1577659514000,-205,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1579636092000,-200,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1579672089000,-210,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1580257993000,-225,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1580342051000,-230,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1580570841000,-235,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1580834531000,-240,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1580852355000,-230,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581260776000,-240,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581272650000,-235,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581291552000,-230,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581292448000,-225,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581344471000,-210,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581430149000,-200,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581456071000,-190,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581518892000,-200,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581543910000,-190,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581614654000,-200,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581629593000,-210,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581704110000,-220,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581711314000,-220,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581790342000,-225,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581811935000,-230,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581822557000,-240,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581824172000,-220,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581825610000,-210,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,5Dimes,1581825794000,-220,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,BetDSI,1580619792000,-227,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,BetDSI,1581318186000,-238,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
Corey Anderson,BetDSI,1581322688000,-213,Corey Anderson,Jan Blachowicz,even,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
