Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jessica Andrade,5Dimes,1560893226000,-265,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1560896646000,-245,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1560896828000,-215,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1560911948000,-195,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1560966665000,-185,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1561018870000,-195,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1561138567000,-185,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1561425847000,-180,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1561891505000,-185,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1561955585000,-175,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1561956845000,-170,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1563460749000,-175,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1563773774000,-170,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1564431487000,-160,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1564891568000,-150,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1565339771000,-165,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
Jessica Andrade,5Dimes,1565789774000,-160,Jessica Andrade,Weili Zhang,even,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
