Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jan Blachowicz,5Dimes,1550512808000,+100,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550513528000,+120,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550513715000,+130,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550513888000,+120,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550514250000,+130,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550514902000,+145,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550515147000,+140,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550516235000,+130,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550518322000,+120,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550522888000,+100,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550523074000,-110,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550523427000,+105,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550523788000,+115,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550524869000,-105,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550525413000,-110,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550527926000,+110,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550534947000,+105,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550543770000,+100,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550546116000,+110,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550566994000,+115,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550601013000,+115,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550603169000,+100,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550607849000,-105,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550609835000,-110,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550855710000,-105,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550861469000,+100,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550870650000,-105,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550871550000,-110,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550888474000,+100,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550903411000,-101,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550906112000,+100,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550930051000,+110,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550947150000,+105,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550952007000,+110,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550957049000,+115,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,5Dimes,1550957956000,+110,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,BetDSI,1550633950000,-114,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,BetDSI,1550666347000,-115,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,BetDSI,1550770218000,-114,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,BetDSI,1550771652000,-115,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,BetDSI,1550771831000,-114,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,BetDSI,1550781548000,-115,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,BetDSI,1550786229000,-117,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,BetDSI,1550786409000,-115,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,BetDSI,1550871909000,-116,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,BetDSI,1550888475000,-111,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,BetDSI,1550891710000,-110,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
Jan Blachowicz,BetDSI,1550894589000,-109,Jan Blachowicz,Thiago Santos,even,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
