Bet,betsite,dates,odds,fighter1,fighter2,class,url
Chan Sung Jung,5Dimes,1485638289000,+135,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1485638465000,+130,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1485638827000,+110,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1485661685000,+140,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1485669002000,+155,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1485713345000,+155,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1485716584000,+150,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1485718205000,+145,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1485785525000,+155,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1485869044000,+165,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1485984077000,+170,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1486039325000,+160,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1486047426000,+170,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1486151658000,+175,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1486191785000,+165,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1486271052000,+167,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1486273144000,+170,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1486273504000,+167,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1486273684000,+165,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,5Dimes,1486273864000,+160,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1485717485000,-170,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1485719465000,+140,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1485747183000,+150,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1485866887000,+156,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1485867065000,+155,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1485878226000,+160,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1486039146000,+165,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1486040407000,+159,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1486058421000,+160,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1486069029000,+165,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1486238586000,+168,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1486238766000,+169,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1486260726000,+168,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1486272784000,+160,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1486273145000,+158,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BetDSI,1486273864000,+165,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1485717485000,-170,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1485718925000,-165,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1485719299000,+140,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1485747183000,+150,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1485867066000,+156,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1485867424000,+155,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1485878408000,+160,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486038438000,+165,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486038965000,+160,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486039326000,+165,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486040228000,+159,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486057710000,+160,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486057871000,+159,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486058254000,+160,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486069029000,+165,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486238226000,+169,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486238587000,+168,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486239127000,+169,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486260547000,+168,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
Chan Sung Jung,BookMaker,1486272246000,+160,Chan Sung Jung,Dennis Bermudez,even,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
