Bet,betsite,dates,odds,fighter1,fighter2,class,url
Andrei Arlovski,5Dimes,1408047133000,+180,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1408383366000,+245,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1409068266000,+270,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1410009126000,+300,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1410030366000,+290,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1410030547000,+300,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1410030909000,+315,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1410031449000,+325,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1410299106000,+360,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1410444546000,+340,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1410481627000,+345,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1410532578000,+365,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1410636607000,+375,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,5Dimes,1410636967000,+380,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,BetDSI,1408720687000,+265,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,BetDSI,1409945780000,+270,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,BetDSI,1410071946000,+300,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
Andrei Arlovski,BetDSI,1410072667000,+314,Andrei Arlovski,Antonio Silva,even,https://www.bestfightodds.com/events/ufc-fight-night-51-big-foot-vs-arlovski-ii-850
