Bet,betsite,dates,odds,fighter1,fighter2,class,url
Erick Silva,5Dimes,1398549800000,-170,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1398553040000,-195,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1398556455000,-230,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1398691271000,-225,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1398703333000,-250,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1398814410000,-240,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1398979455000,-200,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399211291000,-210,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399246745000,-235,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399247284000,-250,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399247644000,-270,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399249984000,-260,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399263485000,-235,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399319825000,-240,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399485609000,-230,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399487946000,-240,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399514405000,-235,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399603686000,-230,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399605846000,-235,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399611610000,-225,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399645987000,-210,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399729686000,-200,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399734566000,-210,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399749136000,-200,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399749667000,-215,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399751470000,-217,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399751647000,-219,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399752010000,-221,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399755970000,-220,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399756336000,-215,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399757409000,-205,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399762270000,-220,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399762631000,-225,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399762997000,-230,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399763361000,-235,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399766595000,-240,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399767316000,-250,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399767667000,-255,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399768209000,-260,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399768389000,-265,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399769108000,-270,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399770550000,-265,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
Erick Silva,5Dimes,1399771266000,-260,Erick Silva,Matt Brown,even,https://www.bestfightodds.com/events/ufc-fight-night-40-brown-vs-silva-794
