Bet,betsite,dates,odds,fighter1,fighter2,class,url
Carlos Condit,5Dimes,1426110307000,-190,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1426110491000,-260,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1428332046000,-250,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1428969632000,-240,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1431465062000,-250,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1432671487000,-260,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1432768866000,-270,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1432909652000,-260,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1432991905000,-268,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1432992248000,-270,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1433017447000,-290,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1433024287000,-320,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1433024467000,-310,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1433026266000,-295,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1433028966000,-315,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1433033286000,-330,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1433033465000,-335,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,5Dimes,1433047505000,-350,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1426082772000,-170,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1426111568000,-188,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1426193467000,-210,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1426194008000,-225,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1429076706000,-220,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1429804267000,-235,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1432438389000,-236,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1432557366000,-240,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1432681929000,-260,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1432731966000,-255,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1432784527000,-257,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1432818008000,-265,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1432852573000,-270,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1433005928000,-272,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
Carlos Condit,BetDSI,1433008987000,-275,Carlos Condit,Thiago Alves,even,https://www.bestfightodds.com/events/ufc-fight-night-67-alves-vs-condit-957
