Bet,betsite,dates,odds,fighter1,fighter2,class,url
Carlos Condit,5Dimes,1372959308000,-215,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1373472549000,-215,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1373642110000,-220,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1374165546000,-230,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1375749015000,-220,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1376848811000,-240,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1377115572000,-245,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1377205755000,-250,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1377530107000,-260,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1377545424000,-250,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1377631829000,-255,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1377631990000,-245,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1377642074000,-250,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1377642792000,-255,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1377657015000,-260,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1377715347000,-265,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1377735489000,-270,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,5Dimes,1377738014000,-280,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,BetDSI,1376949791000,-225,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,BetDSI,1377037100000,-240,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,BetDSI,1377696083000,-270,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,BetDSI,1377713008000,-280,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,BookMaker,1376949614000,-225,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,BookMaker,1377037270000,-240,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,BookMaker,1377450015000,-265,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,BookMaker,1377580872000,-279,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,BookMaker,1377581416000,-270,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,BookMaker,1377713009000,-280,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1372959317000,-208,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1373472556000,-208,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1373642119000,-214,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1374165554000,-224,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1375749022000,-214,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1376848818000,-234,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1377115579000,-239,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1377205763000,-244,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1377530116000,-254,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1377545442000,-244,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1377631848000,-249,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1377642093000,-254,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1377642812000,-259,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1377657024000,-264,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1377715357000,-269,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1377735502000,-274,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,SportBet,1377738026000,-283,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1373174828000,-210,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1373745789000,-225,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1374695113000,-235,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1375106409000,-230,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1376916856000,-250,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1377346151000,-260,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1377518587000,-265,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1377605348000,-270,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1377653957000,-280,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1377692110000,-285,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1377711192000,-275,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1377715348000,-280,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1377729374000,-285,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1377733891000,-300,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1377744310000,-200,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Bovada,1377745388000,-300,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1372881671000,-180,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1372890314000,-200,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1376082940000,-220,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1377001285000,-225,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1377087861000,-240,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1377112536000,-250,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1377113955000,-265,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1377635424000,-275,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1377653962000,-280,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1377692839000,-260,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1377709577000,-280,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1377716433000,-300,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1377719663000,-340,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1377731360000,-360,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
Carlos Condit,Sportsbook,1377734434000,-365,Carlos Condit,Martin Kampmann,even,https://www.bestfightodds.com/events/ufc-fight-night-27-condit-vs-kampmann-ii-692
