Bet,betsite,dates,odds,fighter1,fighter2,class,url
Donald Cerrone,5Dimes,1404595445000,-190,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1404598145000,-230,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1404763386000,-225,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1404765005000,-230,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1404827284000,-240,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1404849970000,-230,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1404853566000,-240,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1404942306000,-250,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405299065000,-260,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405299606000,-270,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405369088000,-265,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405391228000,-260,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405431038000,-255,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405436885000,-245,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405441385000,-240,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405441653000,-230,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405450450000,-240,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405548192000,-250,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405548911000,-240,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405564573000,-250,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,5Dimes,1405566910000,-240,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,BetDSI,1405029426000,-250,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,BetDSI,1405389610000,-255,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,BetDSI,1405445229000,-245,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,BetDSI,1405549274000,-270,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,BetDSI,1405564033000,-270,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,BetDSI,1405564937000,-270,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,BookMaker,1405029729000,-250,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,BookMaker,1405389428000,-255,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,BookMaker,1405445230000,-245,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,BookMaker,1405548912000,-270,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,BookMaker,1405563915000,-260,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,BookMaker,1405565117000,-270,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1404595449000,-184,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1404598149000,-221,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1404763387000,-219,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1404765006000,-224,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1404827286000,-234,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1404849972000,-224,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1404853568000,-234,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1404942307000,-244,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1405299067000,-254,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1405299609000,-264,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1405369090000,-259,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1405391230000,-254,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1405431040000,-249,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1405436922000,-239,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1405441500000,-234,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1405450452000,-244,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1405548195000,-254,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1405548913000,-244,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1405564575000,-254,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,SportBet,1405566913000,-244,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Bovada,1404781025000,-225,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Bovada,1404820985000,-230,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Bovada,1404863106000,-240,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Bovada,1404948608000,-250,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Bovada,1405172526000,-260,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Bovada,1405429752000,-250,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Bovada,1405512546000,-260,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Bovada,1405519569000,-275,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Bovada,1405541891000,-265,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Bovada,1405548732000,-270,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Bovada,1405555938000,-265,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Bovada,1405567451000,-250,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Sportsbook,1405109706000,-235,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Sportsbook,1405116906000,-240,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Sportsbook,1405434788000,-230,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Sportsbook,1405518311000,-215,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Sportsbook,1405531093000,-225,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Sportsbook,1405537573000,-240,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Sportsbook,1405558996000,-235,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405272426000,-240,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405342323000,-258,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405345384000,-245,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405346227000,-234,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405348778000,-239,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405349109000,-247,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405353430000,-259,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405355409000,-254,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405377382000,-248,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405391052000,-233,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405428128000,-221,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405436377000,-225,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405450277000,-244,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405451894000,-235,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405464855000,-242,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405468637000,-252,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405515250000,-257,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
Donald Cerrone,Pinnacle,1405519212000,-259,Donald Cerrone,Jim Miller,even,https://www.bestfightodds.com/events/ufc-fight-night-45-cerrone-vs-miller-826
