Bet,betsite,dates,odds,fighter1,fighter2,class,url
Darren Till,5Dimes,1506217506000,+125,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1506231909000,+150,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1506351607000,+160,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1506585068000,+155,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1506848947000,+160,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507072866000,+145,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507327207000,+130,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507396507000,+135,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507483445000,+125,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507483625000,+115,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507487585000,+120,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507518544000,+125,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507542124000,+130,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507653006000,+120,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507661825000,+125,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507670646000,+120,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507687744000,+125,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1507706467000,+130,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1508445737000,+135,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1508527458000,+145,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1508538609000,+140,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1508566325000,+150,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1508568491000,+140,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1508588651000,+135,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
Darren Till,5Dimes,1508616737000,+130,Darren Till,Donald Cerrone,even,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
