Bet,betsite,dates,odds,fighter1,fighter2,class,url
Cristiane Justino,5Dimes,1473821107000,-1200,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,5Dimes,1473869528000,-1200,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,5Dimes,1473954491000,-1300,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,5Dimes,1474215846000,-1100,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,5Dimes,1474216027000,-1250,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,5Dimes,1474403048000,-1300,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,5Dimes,1474509438000,-1275,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,5Dimes,1474578036000,-1300,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,5Dimes,1474653431000,-1050,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,5Dimes,1474738388000,-1125,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,5Dimes,1474774205000,-1000,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,5Dimes,1474777458000,-925,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,5Dimes,1474779260000,-1000,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,BetDSI,1474149969000,-1250,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,BetDSI,1474467858000,-1285,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,BetDSI,1474757289000,-1000,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,BetDSI,1474759809000,-1025,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,BetDSI,1474769528000,-1028,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
Cristiane Justino,BetDSI,1474774939000,-1031,Cristiane Justino,Lina Akhtar Lansberg,even,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
