Bet,betsite,dates,odds,fighter1,fighter2,class,url
Cub Swanson,5Dimes,1416078906000,+150,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416100145000,+175,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416118508000,+180,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416184960000,+230,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416191044000,+180,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416343147000,+190,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416351067000,+200,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416420013000,+190,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416434587000,+180,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416506229000,+175,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416528189000,+170,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416673449000,+170,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416690188000,+167,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,5Dimes,1416692348000,+160,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,BetDSI,1416366547000,+200,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,BetDSI,1416411911000,+206,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,BetDSI,1416424153000,+190,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,BetDSI,1416435129000,+170,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,BetDSI,1416476885000,+173,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,BetDSI,1416522789000,+175,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
Cub Swanson,BetDSI,1416538628000,+166,Cub Swanson,Frankie Edgar,even,https://www.bestfightodds.com/events/ufc-fight-night-57-edgar-vs-swanson-892
