Bet,betsite,dates,odds,fighter1,fighter2,class,url
Joe Lauzon,5Dimes,1202055606000,+155,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1202137209000,+160,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1202214004000,+175,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1202250007000,+160,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1202298005000,+165,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1202562006000,+170,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1202820005000,+175,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1203234036000,+180,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1203235230000,+200,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1203250806000,+190,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1203529210000,+175,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1203577206000,+190,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1203578407000,+185,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1203598808000,+180,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1204201208000,+175,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1204372811000,+185,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1204400410000,+170,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1204431611000,+175,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1204514973000,+180,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1205828406000,+170,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1205839206000,+180,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1206992408000,+170,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1207082413000,+175,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1207132809000,+165,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1207168818000,+155,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1207170018000,+165,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1207172418000,+175,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1207184414000,+170,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,5Dimes,1207186812000,+180,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
Joe Lauzon,BookMaker,1202270415000,+175,Joe Lauzon,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-13-florian-vs-lauzon-44
