Bet,betsite,dates,odds,fighter1,fighter2,class,url
Charles Oliveira,5Dimes,1435015445000,+125,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1435051444000,+135,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1435165205000,+150,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1435170787000,+145,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1437746946000,+155,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1437925757000,+158,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1439144646000,+170,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1439145007000,+165,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1439157784000,+170,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1439213948000,+175,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1439305750000,+180,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1440000906000,+200,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1440283147000,+205,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1440353528000,+220,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1440355867000,+215,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1440360009000,+210,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1440377645000,+205,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1440380165000,+210,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1440387185000,+215,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1440387544000,+220,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1440387905000,+225,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,5Dimes,1440388445000,+215,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BetDSI,1439209809000,+170,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BetDSI,1439257871000,+179,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BetDSI,1439384772000,+180,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BetDSI,1439675113000,+185,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BetDSI,1439682671000,+190,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BetDSI,1440268393000,+195,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BetDSI,1440282072000,+200,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BetDSI,1440384306000,+210,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BetDSI,1440384665000,+220,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BetDSI,1440385925000,+225,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BetDSI,1440386465000,+227,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BetDSI,1440388805000,+215,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
Charles Oliveira,BookMaker,1439209813000,+170,Charles Oliveira,Max Holloway,even,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
