Bet,betsite,dates,odds,fighter1,fighter2,class,url
Frank Mir,5Dimes,1453514447000,+125,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1453642205000,+130,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1453742472000,+150,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1453939926000,+157,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1454028667000,+145,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1454536265000,+155,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1455297486000,+160,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1457257506000,+155,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1457384405000,+150,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1457453886000,+145,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1457454067000,+140,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1457501406000,+135,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1457541007000,+145,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458011705000,+150,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458244627000,+140,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458311131000,+140,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458344527000,+135,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458352448000,+130,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458356957000,+125,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458398348000,+120,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458421746000,+115,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458424626000,+110,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458442806000,+115,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458445686000,+120,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458448386000,+125,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458448565000,+135,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,5Dimes,1458449465000,+130,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1457246706000,+150,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1457302865000,+150,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458011525000,+146,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458048066000,+145,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458328089000,+135,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458331027000,+133,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458353529000,+125,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458366127000,+124,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458378907000,+123,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458379267000,+115,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458379626000,+120,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458401767000,+110,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458445686000,+113,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458447306000,+117,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BetDSI,1458449465000,+125,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1457246526000,+150,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1457302146000,+150,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1457302325000,+150,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1457302866000,+150,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458010986000,+146,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458011166000,+150,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458011345000,+146,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458047346000,+145,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458047706000,+146,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458047886000,+145,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458328147000,+135,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458331027000,+133,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458331089000,+135,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458331207000,+133,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458352808000,+125,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458352987000,+133,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458353348000,+125,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458365767000,+124,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458365947000,+125,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458366127000,+124,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458378188000,+123,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
Frank Mir,BookMaker,1458378547000,+115,Frank Mir,Mark Hunt,even,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
