Bet,betsite,dates,odds,fighter1,fighter2,class,url
Mark Hunt,5Dimes,1408128503000,-140,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1408128668000,-180,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1408132271000,-170,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1408253945000,-150,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1408550767000,-180,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1409076192000,-160,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1409236754000,-140,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1409248628000,-145,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1410192546000,-155,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1410661812000,-160,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1410669726000,-155,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1410771790000,-150,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1410843245000,-145,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1410889690000,-140,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1411066627000,-120,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1411071848000,-115,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1411075806000,-110,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
Mark Hunt,5Dimes,1411135746000,-110,Mark Hunt,Roy Nelson,even,https://www.bestfightodds.com/events/ufc-fight-night-52-hunt-vs-nelson-847
