Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jack Hermansson,5Dimes,1554708078000,+135,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554756488000,+125,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554757387000,+110,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554758469000,+100,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554760816000,-105,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554787451000,-115,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554787631000,-105,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554788012000,-110,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554789610000,-115,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554798788000,-105,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554805268000,-110,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554833169000,+100,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554842349000,-110,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1554845236000,+110,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1555011010000,+130,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1555258687000,+135,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1555442828000,+140,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1555516808000,+155,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1555519868000,+150,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1555523287000,+155,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1555624449000,+160,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1555886527000,+165,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1555938908000,+170,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1555963568000,+160,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1555968788000,+170,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1556086147000,+160,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1556178307000,+170,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1556203690000,+175,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1556226010000,+180,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1556296747000,+175,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1556315828000,+190,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1556317628000,+185,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1556396827000,+190,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1556413389000,+195,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1556421306000,+190,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1556422210000,+195,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,5Dimes,1556423107000,+185,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,BetDSI,1555516987000,+148,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,BetDSI,1555520591000,+150,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,BetDSI,1555524731000,+148,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,BetDSI,1555534990000,+143,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,BetDSI,1555567387000,+145,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,BetDSI,1555592592000,+148,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,BetDSI,1555607004000,+150,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,BetDSI,1555624994000,+161,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,BetDSI,1555635789000,+158,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,BetDSI,1555639929000,+163,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
Jack Hermansson,BetDSI,1555693935000,+157,Jack Hermansson,Ronaldo Souza,even,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
