Bet,betsite,dates,odds,fighter1,fighter2,class,url
Chan Sung Jung,5Dimes,1559051466000,-120,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559051647000,+100,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559051834000,-120,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559052006000,-105,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559053448000,+125,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559054167000,+145,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559054345000,+125,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559054886000,+145,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559137688000,+135,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559256308000,+140,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559256486000,+145,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559318409000,+155,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559414526000,+155,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559490668000,+165,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559693348000,+175,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559739607000,+180,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1559993228000,+165,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560102845000,+175,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560179706000,+185,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560432247000,+195,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560467345000,+185,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560620347000,+175,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560703687000,+170,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560717724000,+165,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560798007000,+160,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560829687000,+165,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560830406000,+170,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560954425000,+165,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560989347000,+170,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1560990965000,+175,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1561037405000,+180,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1561126325000,+185,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1561137488000,+177,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1561138567000,+170,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1561176007000,+175,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1561229288000,+170,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1561244408000,+175,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1561251067000,+185,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1561253408000,+190,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,5Dimes,1561253766000,+180,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,BetDSI,1560044886000,+170,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,BetDSI,1560059286000,+165,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,BetDSI,1560105188000,+190,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,BetDSI,1560124987000,+180,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,BetDSI,1560178091000,+172,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,BetDSI,1560469688000,+176,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,BetDSI,1560520990000,+175,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,BetDSI,1560528207000,+174,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
Chan Sung Jung,BetDSI,1560529991000,+171,Chan Sung Jung,Renato Moicano,even,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
