Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alistair Overeem,5Dimes,1458152827000,-210,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
Alistair Overeem,5Dimes,1458579429000,-200,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
Alistair Overeem,5Dimes,1459533251000,-210,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
Alistair Overeem,5Dimes,1460399765000,-220,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
Alistair Overeem,5Dimes,1461619471000,-225,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
Alistair Overeem,5Dimes,1462109045000,-230,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
Alistair Overeem,5Dimes,1462181044000,-225,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
Alistair Overeem,5Dimes,1462388767000,-240,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
Alistair Overeem,5Dimes,1462581200000,-235,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
Alistair Overeem,5Dimes,1462649057000,-220,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
Alistair Overeem,5Dimes,1462713306000,-230,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
Alistair Overeem,5Dimes,1462713488000,-225,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
Alistair Overeem,5Dimes,1462717087000,-220,Alistair Overeem,Andrei Arlovski,even,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
