Bet,betsite,dates,odds,fighter1,fighter2,class,url
Luke Rockhold,5Dimes,1413059409000,-530,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1413409507000,-515,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1413874266000,-485,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1414585447000,-400,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1414783305000,-420,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1415138587000,-440,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1415200866000,-450,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1415309406000,-420,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1415390411000,-475,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1415401581000,-500,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1415404988000,-480,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1415412905000,-475,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1415417049000,-500,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,5Dimes,1415420107000,-525,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1414695440000,-400,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1414784171000,-412,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1415076126000,-420,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1415082969000,-430,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1415271247000,-455,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1415296091000,-475,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1415303467000,-500,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1415337906000,-650,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1415366831000,-458,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1415381231000,-525,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1415388249000,-535,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1415417229000,-550,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BetDSI,1415420648000,-550,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BookMaker,1414695612000,-400,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BookMaker,1414784171000,-412,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BookMaker,1415076306000,-420,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BookMaker,1415082785000,-430,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BookMaker,1415271247000,-455,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BookMaker,1415336771000,-456,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BookMaker,1415366647000,-458,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BookMaker,1415406428000,-465,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BookMaker,1415409308000,-470,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BookMaker,1415410209000,-478,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
Luke Rockhold,BookMaker,1415420829000,-520,Luke Rockhold,Michael Bisping,even,https://www.bestfightodds.com/events/ufc-fight-night-55-rockhold-vs-bisping-894
