Bet,betsite,dates,odds,fighter1,fighter2,class,url
Alex Caceres,5Dimes,1468712527000,+250,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1468780204000,+200,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1469040312000,+250,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470155404000,+240,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470155597000,+230,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470230828000,+245,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470244871000,+260,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470245059000,+265,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470317252000,+255,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470346027000,+250,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470429186000,+260,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470489487000,+255,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470489672000,+248,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470489846000,+245,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470524586000,+255,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470532871000,+260,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470543125000,+265,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470544025000,+295,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470544205000,+305,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470544926000,+295,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470545105000,+290,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,5Dimes,1470545658000,+275,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,BetDSI,1469050566000,+250,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,BetDSI,1470156138000,+233,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,BetDSI,1470156681000,+230,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,BetDSI,1470166746000,+220,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,BetDSI,1470169267000,+210,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,BetDSI,1470181331000,+250,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
Alex Caceres,BetDSI,1470238926000,+250,Alex Caceres,Yair Rodriguez,even,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
