Bet,betsite,dates,odds,fighter1,fighter2,class,url
Doo Ho Choi,5Dimes,1513644665000,-180,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1513645205000,-230,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1513649169000,-195,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1513651685000,-180,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1513693627000,-175,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1513711088000,-185,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1514834828000,-165,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1514836806000,-170,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1515167106000,-165,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1515344226000,-170,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1515533045000,-160,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1515535568000,-155,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1515633667000,-160,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1515791353000,-155,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1515821045000,-160,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
Doo Ho Choi,5Dimes,1515853808000,-155,Doo Ho Choi,Jeremy Stephens,even,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
