Bet,betsite,dates,odds,fighter1,fighter2,class,url
Artem Lobov,5Dimes,1491090306000,+365,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1491093006000,+400,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1491195784000,+375,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1491196504000,+350,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1491342485000,+400,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1491795544000,+430,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1491835685000,+450,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492351925000,+450,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492358766000,+475,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492445705000,+465,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492455964000,+500,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492562886000,+490,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492691768000,+525,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492777642000,+510,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492785727000,+500,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492810929000,+540,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492854312000,+550,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492878246000,+560,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492889406000,+555,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492889585000,+540,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
Artem Lobov,5Dimes,1492889948000,+525,Artem Lobov,Cub Swanson,even,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
