Bet,betsite,dates,odds,fighter1,fighter2,class,url
Din Thomas,5Dimes,1187559029000,+155,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1187611229000,+150,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1189294239000,+145,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1189425620000,+130,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1189445416000,+135,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1189463423000,+140,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1190185229000,+150,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,5Dimes,1190194225000,+140,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1187757020000,+135,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1190149212000,+150,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1190174416000,+145,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1190217609000,+155,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1190230210000,+140,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1190232018000,+125,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,BookMaker,1190253610000,+120,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,SportBet,1189382411000,+130,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,SportBet,1189688409000,+135,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,SportBet,1189740607000,+130,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,Bovada,1187420403000,+160,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,Bovada,1188646205000,+150,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,Bovada,1189314003000,+135,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,Sportsbook,1187420421000,+155,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,Sportsbook,1189072826000,+140,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,SportsInt.,1190169050000,+137,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1187420403000,+160,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1187420421000,+158,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1187559029000,+157,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1187611229000,+155,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1187757020000,+150,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1188646205000,+148,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1189072826000,+144,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1189294239000,+143,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1189314003000,+139,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1189382411000,+137,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1189425620000,+134,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1189445416000,+135,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1189463423000,+136,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1189688409000,+137,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1189740607000,+136,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1190149212000,+139,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1190169050000,+139,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1190174416000,+138,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1190185229000,+140,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1190194225000,+138,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1190217609000,+140,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1190230210000,+137,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1190232018000,+135,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Din Thomas,meanodds,1190253610000,+134,Din Thomas,Kenny Florian,even,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1187559029000,-175,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1187611229000,-170,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1189294239000,-165,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1189425620000,-150,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1189445416000,-155,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1189463423000,-160,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1190185229000,-170,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,5Dimes,1190194225000,-160,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1187757020000,-165,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1190149212000,-180,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1190174416000,-175,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1190217609000,-185,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1190230210000,-170,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
Kenny Florian,BookMaker,1190232018000,-155,Din Thomas,Kenny Florian,odd,https://www.bestfightodds.com/events/ufc-fight-night-11-thomas-vs-florian-13
