Bet,betsite,dates,odds,fighter1,fighter2,class,url
Anthony Pettis,5Dimes,1551727449000,+205,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1551727634000,+280,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1551727807000,+285,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1551728888000,+270,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1551895573000,+310,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1551906552000,+290,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1551965952000,+280,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1552078275000,+310,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1552194189000,+315,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1552262227000,+320,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1552605134000,+350,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1552654814000,+340,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1552674790000,+345,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1552783335000,+360,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1552831388000,+345,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1552853166000,+350,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1552854066000,+355,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1552916887000,+365,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553054411000,+355,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553095994000,+350,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553121191000,+345,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553122632000,+350,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553129650000,+335,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553175008000,+330,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553194097000,+320,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553207950000,+310,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553260150000,+305,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553356273000,+310,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553371750000,+305,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553371928000,+300,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553380214000,+305,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553380568000,+310,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553381287000,+318,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553386331000,+335,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553395149000,+355,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553395690000,+365,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,5Dimes,1553395868000,+345,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,BetDSI,1552815733000,+345,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,BetDSI,1552826708000,+334,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
Anthony Pettis,BetDSI,1552830309000,+345,Anthony Pettis,Stephen Thompson,even,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
